,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
259,Up(2009),0.0663,0.1096,0.2879,0.0651,0.0216,0.1041,0.1375,0.233,0.0898,0.0306,3286.0,0.0122,1.8,
260,Venom(2018),0.0911,0.134,0.3426,0.0673,0.0303,0.1493,0.1477,0.2295,0.0866,0.0429,3865.0,0.0078,2.0,B2
261,Warm_bodies(2013),0.0757,0.1569,0.3659,0.0821,0.0286,0.106,0.1584,0.2695,0.1047,0.0358,2167.0,0.0074,2.0,B1
262,Westworld_scenes_of_Dr_Robert_Ford,0.1062,0.1557,0.3413,0.0944,0.0373,0.1204,0.1586,0.2068,0.1088,0.0523,2467.0,0.0097,3.1,
263,We_are_the_Millers(2013),0.074,0.1336,0.3317,0.0688,0.0294,0.1057,0.1368,0.2093,0.0858,0.0429,7555.0,0.0099,1.5,B1
264,While_You_Were_Sleeping(1995),0.0585,0.1262,0.3627,0.0595,0.03,0.0937,0.1406,0.2357,0.0909,0.0301,5159.0,0.0103,1.6,B1
265,Zootopia(2016),0.0817,0.148,0.304,0.0736,0.0376,0.1037,0.1415,0.2007,0.1062,0.0439,5082.0,0.0075,1.9,B2
266,The Secret Life of Pets.en,,,,,,,,,,,,,,B2
267,Up (2009),,,,,,,,,,,,,,A2
268,Suits S04E01 EngSub,,,,,,,,,,,,,,C1
269,Suits S04E02 EngSub,,,,,,,,,,,,,,C1
270,Suits S04E03 EngSub,,,,,,,,,,,,,,C1
271,Suits S04E04 EngSub,,,,,,,,,,,,,,C1
272,Suits S04E05 EngSub,,,,,,,,,,,,,,C1
273,Suits S04E06 EngSub,,,,,,,,,,,,,,C1
274,Suits S04E07 EngSub,,,,,,,,,,,,,,C1
275,Suits S04E08 EngSub,,,,,,,,,,,,,,C1
276,Suits S04E09 EngSub,,,,,,,,,,,,,,C1
277,Suits S04E10 EngSub,,,,,,,,,,,,,,C1
278,Suits S04E11 EngSub,,,,,,,,,,,,,,C1
279,Suits S04E12 EngSub,,,,,,,,,,,,,,C1
280,Suits S04E13 EngSub,,,,,,,,,,,,,,C1
281,Suits S04E14 EngSub,,,,,,,,,,,,,,C1
282,Suits S04E15 EngSub,,,,,,,,,,,,,,C1
283,Suits S04E16 EngSub,,,,,,,,,,,,,,C1
284,Glass Onion,,,,,,,,,,,,,,B2
285,Matilda(2022),,,,,,,,,,,,,,C1
286,Bullet train,,,,,,,,,,,,,,B1
287,Thor: love and thunder,,,,,,,,,,,,,,B2
288,Lightyear,,,,,,,,,,,,,,B2
289,The Grinch,,,,,,,,,,,,,,B1
